Psalm A,Psalm B,Contiguous Phrase Matches,Skipgram Matches,Root Matches,Final Score
37,90,0,1,21,214.54
86,141,1,1,16,214.45
9,69,1,2,25,214.42
74,82,2,3,10,214.31
102,109,1,2,28,214.28
7,55,1,1,23,214.26
106,136,4,10,11,214.2
34,143,2,1,20,214.18
30,86,0,0,17,214.17
135,148,3,5,10,214.13
1,92,0,2,7,214.0
123,134,1,0,5,213.92
5,40,1,1,20,213.89
45,139,0,0,19,213.88
52,112,0,0,12,213.88
55,104,0,0,29,213.84
100,103,2,2,7,213.66
77,135,3,1,19,213.5
111,135,2,0,15,213.38
48,108,2,2,11,213.37
5,51,2,3,16,213.36
73,119,2,1,51,213.1
7,82,0,0,14,213.07
78,103,1,4,33,213.03
74,105,0,1,29,212.89
44,80,1,1,20,212.84
35,51,2,0,25,212.74
66,105,1,1,30,212.62
14,34,2,1,13,212.54
5,92,1,0,14,212.5
35,80,1,0,21,212.28
80,104,2,1,22,212.27
68,122,0,0,18,212.23
43,74,1,1,12,212.07
34,88,2,0,17,211.95
22,89,2,4,35,211.89
31,39,2,2,20,211.78
69,107,1,4,30,211.78
31,62,3,2,19,211.71
26,31,4,0,18,211.7
77,95,2,0,17,211.5
29,104,0,0,16,211.48
36,53,3,1,11,211.42
147,149,1,2,9,211.41
26,38,1,1,18,211.4
18,148,0,2,28,211.37
52,109,0,3,14,211.26
7,88,2,0,19,211.21
97,105,0,1,21,211.13
45,102,0,1,25,211.12
71,144,0,1,17,211.1
61,110,0,1,10,211.02
36,50,0,0,21,211.0
46,68,3,1,16,210.97
69,104,1,0,31,210.95
16,22,2,1,18,210.92
50,83,1,1,19,210.77
2,55,1,0,14,210.77
9,83,0,1,16,210.76
6,143,2,0,13,210.74
2,124,0,0,6,210.67
41,56,1,1,17,210.59
38,41,2,0,20,210.47
18,82,2,0,18,210.44
24,89,0,2,23,210.42
46,65,0,0,13,210.41
44,108,2,1,14,210.4
40,107,0,1,28,210.39
45,89,2,1,28,210.31
41,89,1,5,23,210.29
10,88,3,0,16,210.25
86,91,1,0,12,210.23
31,52,0,1,21,210.07
55,71,1,2,23,209.97
78,148,0,3,25,209.91
96,108,2,1,10,209.82
65,103,1,0,18,209.79
103,106,4,4,25,209.7
2,44,0,1,16,209.68
37,52,2,1,17,209.59
31,104,3,0,30,209.54
89,102,3,3,32,209.47
22,119,6,6,56,209.44
18,143,3,5,26,209.43
76,147,0,1,15,209.33
21,89,3,2,24,209.31
39,81,0,0,20,209.23
48,110,0,1,12,209.22
3,69,1,0,19,209.2
12,140,1,2,11,209.14
51,102,1,1,19,209.11
19,111,1,1,9,209.01
48,144,0,0,14,209.01
92,112,0,0,14,208.96
89,109,2,1,38,208.93
33,94,3,2,22,208.81
61,90,0,0,13,208.77
5,143,4,1,13,208.67
103,112,1,2,13,208.58
26,116,1,0,14,208.57
65,66,0,1,17,208.55
55,92,0,2,19,208.36
66,90,2,1,16,208.3
9,14,0,1,15,208.26
32,64,0,2,9,208.25
32,139,1,0,20,208.11
46,48,3,3,11,208.08
61,102,0,1,17,208.01
82,110,0,0,9,208.0
45,78,0,1,33,207.98
102,132,1,2,20,207.93
7,35,1,3,22,207.89
38,141,1,0,18,207.88
97,98,2,2,9,207.82
16,73,0,0,13,207.69
39,119,3,3,38,207.67
51,89,1,1,30,207.62
8,148,0,5,6,207.6
18,106,4,0,44,207.53
68,74,3,2,27,207.52
140,144,0,0,13,207.46
55,142,1,0,15,207.36
17,21,1,0,15,207.31
17,143,1,2,15,207.26
19,72,0,1,17,207.11
85,132,0,0,13,206.99
31,88,2,0,24,206.91
2,73,0,0,16,206.86
49,78,1,3,32,206.83
27,35,3,1,22,206.56
36,55,1,0,19,206.55
78,90,0,1,32,206.55
5,61,1,0,12,206.54
43,84,1,1,7,206.52
35,37,2,3,30,206.46
33,107,3,2,24,206.42
9,48,4,1,15,206.4
53,69,2,0,21,206.28
121,148,0,2,9,206.1
61,143,1,0,14,206.1
104,144,1,1,21,205.93
25,55,0,3,19,205.9
91,139,2,0,18,205.89
102,106,3,1,29,205.89
69,88,3,4,24,205.88
7,80,1,1,16,205.86
36,82,0,0,13,205.82
60,68,0,2,19,205.8
36,78,0,0,31,205.68
4,57,1,0,9,205.64
65,90,0,2,14,205.6
14,102,1,1,16,205.57
15,23,1,1,6,205.55
7,83,1,1,17,205.49
27,31,6,4,18,205.45
22,111,0,2,17,205.32
98,100,1,1,7,205.2
10,33,2,3,21,205.18
17,139,0,0,17,205.15
96,145,2,1,15,205.08
26,69,1,1,21,205.04
104,132,0,0,21,204.9
44,77,1,1,25,204.89
127,132,1,1,12,204.86
7,87,0,0,10,204.84
21,61,0,0,14,204.79
8,104,0,2,14,204.77
74,110,1,0,15,204.73
44,60,0,1,16,204.64
18,61,1,1,23,204.63
7,40,2,0,20,204.56
45,76,0,0,11,204.55
22,40,2,3,28,204.51
79,80,0,1,19,204.5
10,38,3,0,19,204.47
31,36,2,2,19,204.36
18,27,3,3,28,204.29
18,140,1,2,27,204.22
73,88,1,0,22,204.2
77,106,2,2,25,204.12
7,28,0,1,17,204.1
55,103,0,1,23,203.91
102,129,0,1,9,203.84
